frame,card_name,stand_name,description,card_number
Card Abdul,Mohammed Abdul,Magician's Red,"La personne de ton choix te décale une blonde.
“YES I AM !”",026/100
Card Bad company,Keicho Nijimura,Bad Company,"Distribue 3 gorgées et choisis un joueur : il peut garder sa carte au prochain tour._x000d_
“Ce n’est que le début de notre ascension.”
Si Okuyasu est en jeu, il boit à ta place les gorgées qu’on t’inflige sans réfléchir.",058/100
Card Blackmore,Blackmore,Catch the Rainbow,"Si quelqu’un boit avant toi ce tour-ci, tu peux bloquer ce qu’on t’inflige et le renvoyer._x000d_
“La pluie t’a trahi.”
Si Weather Report ou Emporio est en jeu : l’effet ne fonctionne pas.",060/100
Card Blackmore 2,Blackmore,Catch the Rainbow,"Annonce : “Attrapé par la pluie.”_x000d_
Le joueur ciblé doit boire le double de ce qu’il allait boire.
Si Weather Report ou Emporio est en jeu : ne fonctionne pas.",061/100
Card Boingo,Frère Boingo,Thoth,"Si Oingo est en jeu : tu distribue un cul sec.
Si Oingo n’est pas en jeu : tu bois 3 gorgées.",042/100
Card Bucciarati,Bruno Bucciarati,Sticky Fingers,"Zip ! Tu coupes le verre d’un joueur en deux : vous en buvez chacun une moitié.
""Brrrrrr... Sticky Fingaaas!""_x000d_
CRACK SHLUK ZIP-ZIP-ZIP",028/100
Card Bucciarati 2,Bruno Bucciarati,Sticky Fingers,"Ordre du capo : ce tour, toutes les cartes sont à toi, tu décides de toutes les gorgées distribuées.
Arriverderci.",032/100
Card Bucciarati full art,,,"“ J’ai juré de protéger mes amis, peu importe ce qui arrive. ”
Bucciarati se sacrifie pour protéger ses amis, tu bois toutes les gorgées distribuées pendant ce tour.
La carte est révélée à la fin du tour",
Card Candy boy,Candyboy,Nameless Belligerent,"4
déso",070/100
Card Cheap Trick,Masazo Kinoto,Cheap Trick,"Si quelqu’un voit ton dos tu fais un cul sec.
Effet actif pendant 3 tours.",016/100
Card Darby - carte bluff,Daniel J. Darby,Carte bluff,"Distribuer 2 gorgées comme si tu avais la vraie carte.
Demande lui: “Bluff ou pas ?”
Si il dit « Bluff ! », il a gagné : tu bois double. Sinon… c’est lui qui trinque.",004/100
